,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (F),Wind Speed
386,awjilah,100,LY,1570715960,18,29.14,21.3,93.25,24.24
387,sola,100,TZ,1570715960,31,-3.17,33.8,85.08,12.24
388,tura,0,RU,1570715960,81,64.27,100.22,13.98,2.13
389,coolum beach,33,AU,1570715961,89,-26.53,153.09,64.0,1.68
390,mahon,75,IE,1570715961,93,51.89,-8.4,60.01,17.22
391,zhigalovo,1,RU,1570715961,84,54.81,105.15,15.87,2.65
392,mabai,70,CN,1570715961,99,23.01,104.4,62.22,3.25
393,bandarbeyla,0,SO,1570715961,86,9.49,50.81,80.46,12.2
394,geraldton,40,CA,1570715962,93,49.72,-86.95,50.0,5.82
395,vanimo,82,PG,1570715962,72,-2.67,141.3,83.39,6.16
396,williamsburg,40,US,1570715962,82,37.27,-76.71,61.0,4.7
397,hualmay,24,PE,1570715962,54,-11.1,-77.61,67.08,8.01
398,biga,45,TR,1570715963,50,40.23,27.24,80.01,10.29
399,male,63,UA,1570715963,76,50.74,33.7,55.8,7.3
400,vila,100,IT,1570715963,72,45.18,8.4,71.01,10.29
401,nong kung si,0,TH,1570715963,74,16.65,103.3,82.4,3.36
402,matagami,75,NG,1570715964,66,9.67,8.4,86.0,14.99
403,katobu,74,ID,1570715964,90,-4.94,122.53,70.72,4.15
404,kinshasa,75,CD,1570715964,62,-4.32,15.31,87.8,5.82
405,whakatane,100,NZ,1570715964,96,-37.96,176.99,60.01,1.99
406,forbes,1,AU,1570715964,51,-33.38,148.01,52.0,4.4
407,vysha,100,RU,1570715965,95,53.85,42.38,47.23,10.63
408,pasni,0,PK,1570715965,71,25.26,63.48,81.88,8.49
409,ancud,90,CL,1570715965,100,-41.87,-73.83,50.0,13.87
410,jishou,100,CN,1570715965,89,28.26,109.7,66.79,3.73
411,bilibino,0,RU,1570715965,83,68.06,166.44,4.08,2.61
412,little current,1,CA,1570715966,93,45.98,-81.93,53.01,5.82
413,kavaratti,52,IN,1570715966,72,10.57,72.64,84.04,5.38
414,sovetskaya gavan,100,RU,1570715966,68,48.97,140.29,56.37,11.93
415,hermosillo,5,MX,1570715966,56,29.09,-110.96,71.01,5.82
416,fairbanks,90,US,1570715966,100,64.84,-147.72,37.4,2.02
417,skotterud,99,NO,1570715967,93,59.98,12.12,48.2,3.36
418,westport,90,US,1570715967,47,41.14,-73.36,61.0,27.51
419,arman,100,RU,1570715967,84,59.7,150.17,38.19,15.6
420,dubasari,40,MD,1570715967,31,47.26,29.16,75.2,8.05
421,hofn,20,IS,1570715968,57,64.25,-15.21,50.0,17.22
422,bathsheba,20,BB,1570715968,66,13.22,-59.52,86.0,11.41
423,vardo,40,US,1570715968,71,39.62,-77.74,57.0,6.93
424,skagen,100,SE,1570715968,81,58.6,13.44,53.6,5.82
425,general pico,47,AR,1570715969,39,-35.66,-63.75,84.51,14.09
426,mackay,20,CA,1570715969,85,53.65,-115.58,19.4,4.7
427,oranjestad,20,AW,1570715969,79,12.52,-70.03,84.2,16.11
428,at-bashi,0,KG,1570715969,72,41.17,75.81,27.46,2.8
429,kogon,0,UZ,1570715969,27,39.73,64.54,77.0,9.38
430,kununurra,36,AU,1570715970,47,-15.77,128.74,75.2,3.36
431,praya,40,ID,1570715970,83,-8.71,116.27,78.8,9.17
432,zambezi,97,ZM,1570715970,37,-13.55,23.12,83.03,9.6
433,kon tum,87,VN,1570715970,97,14.36,108.0,67.26,2.51
434,petatlan,75,MX,1570715970,83,17.52,-101.27,77.0,9.17
435,ejura,8,GH,1570715970,65,7.38,-1.37,86.41,4.19
436,mengyin,98,CN,1570715971,93,35.71,117.93,58.23,3.93
437,luanda,20,AO,1570715971,65,-8.83,13.24,82.4,11.41
438,kalabo,70,ZM,1570715971,22,-15.0,22.67,91.53,8.44
439,inhambane,75,MZ,1570715971,69,-23.87,35.38,77.0,8.05
440,wanning,75,AT,1570715972,93,48.64,13.53,57.0,11.41
441,garmsar,0,IR,1570715972,19,35.22,52.34,74.48,6.5
442,maniitsoq,39,GL,1570715972,52,65.42,-52.9,35.47,1.84
443,chernyshevskiy,100,RU,1570715972,89,63.01,112.47,15.17,6.84
444,fukue,75,JP,1570715972,78,35.03,136.69,73.99,6.93
445,vestmanna,75,FO,1570715973,100,62.16,-7.17,44.6,17.22
446,anchorage,90,US,1570715973,93,61.22,-149.89,43.0,10.29
447,kupang,43,ID,1570715973,78,-10.16,123.6,77.81,13.32
448,kaeo,100,NZ,1570715973,100,-35.1,173.78,61.0,22.02
449,saint george,20,GR,1570715974,73,39.45,22.34,73.4,2.73
450,nanpiao,11,CN,1570715974,42,41.1,120.75,54.16,7.46
451,sorland,40,NO,1570715974,65,67.67,12.69,44.6,12.75
452,sao filipe,96,CV,1570715974,82,14.9,-24.5,78.58,11.5
453,lesnica,75,RS,1570715974,63,44.65,19.31,66.2,5.82
454,lazaro cardenas,0,MX,1570715974,52,28.39,-105.62,73.04,7.1
455,buala,99,SB,1570715975,81,-8.15,159.59,78.08,4.59
456,porosozero,18,RU,1570715975,93,62.72,32.71,31.3,3.27
457,flinders,90,AU,1570715975,87,-34.58,150.85,59.0,6.93
458,swellendam,0,ZA,1570715975,42,-34.02,20.44,64.4,16.11
459,pemberton,20,AU,1570715975,90,-34.44,116.03,60.01,1.99
460,cabedelo,75,BR,1570715976,62,-6.97,-34.84,84.2,18.34
461,los zacatones,75,MX,1570715976,87,22.95,-102.05,51.8,7.71
462,cilegon,40,ID,1570715976,78,-6.02,106.05,80.6,6.93
463,kloulklubed,40,PW,1570715976,78,7.04,134.26,82.4,5.82
464,kyaikkami,67,MM,1570715976,74,16.08,97.57,84.13,7.27
465,zainsk,99,RU,1570715976,86,55.29,52.01,43.25,9.69
466,christchurch,100,NZ,1570715977,93,-43.53,172.64,51.01,8.05
467,huilong,96,CN,1570715977,89,31.15,106.5,61.45,5.8
468,nouadhibou,100,MR,1570715977,45,20.93,-17.03,84.2,9.17
469,mentakab,27,MY,1570715977,92,3.49,102.35,75.18,3.7
470,half moon bay,1,US,1570715978,15,37.46,-122.43,62.6,9.17
471,bay roberts,40,CA,1570715978,81,47.58,-53.28,53.01,6.93
472,roald,75,NO,1570715978,71,62.58,6.12,54.0,5.82
473,launceston,75,AU,1570715978,87,-41.43,147.14,46.99,8.05
474,marihatag,99,PH,1570715979,73,8.8,126.3,83.97,2.72
475,finschhafen,99,PG,1570715979,83,-6.6,147.85,79.79,8.27
476,asyut,63,EG,1570715979,28,27.18,31.19,96.8,11.41
477,ust-kuyga,34,RU,1570715979,95,70.0,135.55,-0.05,4.23
478,neyshabur,16,IR,1570715979,52,36.21,58.79,62.67,17.46
479,vuktyl,99,RU,1570715980,78,63.86,57.31,34.97,8.52
480,san ramon,7,NI,1570715980,70,12.92,-85.84,76.42,4.74
481,uvalde,90,US,1570715980,83,29.21,-99.79,80.01,9.17
482,sumbe,43,AO,1570715980,73,-11.2,13.84,78.55,8.46
483,bubaque,46,GW,1570715980,72,11.28,-15.83,82.69,7.37
484,mahenge,100,TZ,1570715981,75,-8.68,36.72,78.3,9.23
485,naousa,99,GR,1570715981,77,40.63,22.07,75.99,2.57
486,tonantins,100,BR,1570715981,69,-2.86,-67.77,82.81,1.23
487,puerto suarez,14,BO,1570715981,59,-18.96,-57.8,89.6,6.93
488,santiago de cao,90,PE,1570715981,87,-7.96,-79.24,60.8,5.82
489,kangasala,90,FI,1570715982,100,61.46,24.07,43.0,5.82
490,bintulu,75,MY,1570715982,100,3.17,113.03,75.2,3.36
491,sagua la grande,20,CU,1570715982,94,22.81,-80.07,78.8,4.7
492,kontagora,79,NG,1570715982,76,10.4,5.47,82.45,4.73
493,chililabombwe,100,ZM,1570715982,31,-12.37,27.84,81.81,3.84
494,hamilton,1,CA,1570715983,100,43.26,-79.87,60.01,10.29
495,florianopolis,0,BR,1570715983,64,-27.6,-48.55,81.0,14.99
496,rosarito,75,CO,1570715983,93,4.91,-75.23,73.4,4.7
497,shasta lake,1,US,1570715983,63,40.68,-122.36,55.4,7.94
498,seoul,75,KR,1570715983,93,37.57,126.98,60.8,1.12
499,santiago del estero,0,AR,1570715984,23,-27.8,-64.26,94.66,21.24
500,huntsville,90,US,1570715984,73,34.73,-86.59,72.0,9.17
501,genhe,35,CN,1570715984,45,50.78,121.52,18.82,4.09
502,yulara,0,AU,1570715984,9,-25.24,130.99,77.0,9.17
503,muscat,20,OM,1570715984,52,23.6,58.55,91.4,8.05
504,port keats,100,AU,1570715985,70,-14.25,129.55,80.83,4.3
505,saint-pierre,20,FR,1570715985,63,48.95,4.24,64.0,17.22
506,nagato,0,JP,1570715985,82,34.35,131.14,68.0,4.7
507,monze,99,ZM,1570715986,25,-16.28,27.48,85.48,1.65
508,huamachuco,93,PE,1570715986,49,-7.82,-78.05,53.1,7.5
509,nuevo progreso,1,US,1570715986,74,26.05,-97.95,84.99,13.87
510,borogontsy,90,RU,1570715986,97,62.67,131.17,17.89,4.14
511,mapastepec,71,MX,1570715986,68,15.44,-92.9,83.08,3.11
512,vienna,75,AT,1570715986,42,48.21,16.37,64.99,18.34
513,san patricio,0,PY,1570715987,38,-26.98,-56.83,89.19,9.35
514,bage,100,IN,1570715987,91,12.95,75.85,69.84,7.35
515,dzhebariki-khaya,100,RU,1570715987,93,62.22,135.8,27.21,4.71
516,korem,100,ET,1570715987,88,12.51,39.52,58.21,5.77
517,leninskoye,0,RU,1570715987,60,54.82,82.85,38.82,9.19
518,haines junction,100,CA,1570715988,93,60.75,-137.51,27.07,12.04
519,fort morgan,90,US,1570715988,79,40.25,-103.8,26.6,14.99
520,skelleftea,90,SE,1570715988,93,64.75,20.95,37.4,3.36
521,orthez,20,FR,1570715988,49,43.49,-0.77,71.6,3.36
522,kutum,40,SD,1570715988,23,14.2,24.66,89.17,15.14
523,almaty,20,KZ,1570715989,54,43.24,76.95,59.0,4.47
524,inuvik,75,CA,1570715989,86,68.36,-133.71,33.8,2.24
525,nelson bay,40,AU,1570715989,100,-32.72,152.14,59.0,5.82
526,alugan,100,PH,1570715989,90,12.22,125.48,77.0,6.89
527,pangody,100,RU,1570715989,85,65.85,74.49,43.32,22.24
528,nushki,0,PK,1570715990,14,29.55,66.02,78.3,8.11
529,abu kamal,0,SY,1570715990,20,34.45,40.92,82.11,1.59
530,pamekasan,45,ID,1570715990,85,-7.16,113.47,74.93,6.92
531,lahij,73,YE,1570715990,62,13.06,44.88,84.78,12.22
532,katsuura,75,JP,1570715990,78,33.93,134.5,71.6,3.36
533,dingle,100,PH,1570715991,90,11.0,122.67,74.57,3.27
534,hoganas,20,SE,1570715991,71,56.2,12.56,57.99,12.75
535,shitanjing,16,CN,1570715991,20,39.23,106.34,57.0,4.0
536,dasoguz,0,TM,1570715991,48,41.84,59.97,66.2,9.17
537,kodinsk,18,RU,1570715991,70,58.6,99.18,21.52,1.66
538,athens,20,GR,1570715992,69,37.98,23.73,79.0,4.7
